Step,Energy,Anxiety,Health,Hormone_S,Hormone_C,Threshold
0,9.98967170715332,0.0,1.0,0.8,0.0,7.6
100,9.065171241760254,0.013798348605632782,1.0,0.8,0.0,7.6
200,8.138848304748535,0.10927730053663254,1.0,0.8,0.0,7.6
300,7.209566593170166,0.0790480300784111,1.0,0.8,0.0,7.6
400,6.583555698394775,0.06326239556074142,1.0,0.8,0.0,7.6
500,6.396838188171387,0.05515313521027565,1.0,0.8,0.0,7.6
600,6.294432640075684,0.0544411763548851,1.0,0.8,0.0,7.6
700,6.229166507720947,0.051458220928907394,1.0,0.8,0.0,7.6
800,6.07718563079834,0.06762148439884186,1.0,0.8,0.0,7.6
900,6.027228355407715,0.049978774040937424,1.0,0.8,0.0,7.6
1000,5.7908806800842285,0.03002319484949112,1.0,0.8,0.0,7.6
1100,5.731129169464111,0.035955511033535004,1.0,0.8,0.0,7.6
1200,5.620884895324707,0.04208052158355713,1.0,0.8,0.0,7.6
1300,5.5657806396484375,0.037665583193302155,1.0,0.8,0.0,7.6
1400,5.461630344390869,0.05195188149809837,1.0,0.8,0.0,7.6
1500,5.3180365562438965,0.058777254074811935,1.0,0.8,0.0,7.6
1600,5.285768508911133,0.06704409420490265,1.0,0.8,0.0,7.6
1700,5.273881912231445,0.051831621676683426,1.0,0.8,0.0,7.6
1800,5.128153324127197,0.03658822178840637,1.0,0.8,0.0,7.6
1900,4.9302167892456055,0.026686962693929672,1.0,0.8,0.0,7.6
2000,4.83283805847168,0.03443203866481781,1.0,0.8,0.0,7.6
2100,4.651299476623535,0.03337230905890465,1.0,0.8,0.0,7.6
2200,4.528078079223633,0.041169263422489166,1.0,0.8,0.0,7.6
2300,4.471729278564453,0.037142351269721985,1.0,0.8,0.0,7.6
2400,4.354925155639648,0.055907346308231354,1.0,0.8,0.0,7.6
2500,4.287994384765625,0.08390927314758301,1.0,0.8,0.0,7.6
2600,4.074874401092529,0.06351584196090698,1.0,0.8,0.0,7.6
2700,3.9171645641326904,0.08103162050247192,1.0,0.8,0.0,7.6
2800,3.795011520385742,0.041575588285923004,1.0,0.8,0.0,7.6
2900,3.58085036277771,0.02847878262400627,1.0,0.8,0.0,7.6
3000,3.4093775749206543,0.03693656250834465,1.0,0.8,0.0,7.6
3100,3.272188901901245,0.03254948928952217,1.0,0.8,0.0,7.6
3200,3.0325005054473877,0.043966419994831085,1.0,0.8,0.0,7.6
3300,2.8291311264038086,0.05026961863040924,1.0,0.8,0.0,7.6
3400,2.8299176692962646,0.06089947745203972,1.0,0.8,0.0,7.6
3500,2.6343178749084473,0.05465167015790939,1.0,0.8,0.0,7.6
3600,2.5469512939453125,0.06410103291273117,1.0,0.8,0.0,7.6
3700,2.4434988498687744,0.05828383192420006,1.0,0.8,0.0,7.6
3800,2.2816028594970703,0.023900974541902542,1.0,0.8,0.0,7.6
3900,2.328388214111328,0.032570112496614456,1.0,0.8,0.0,7.6
4000,2.2024192810058594,0.046512749046087265,1.0,0.8,0.0,7.6
4100,2.0345864295959473,0.033447250723838806,1.0,0.8,0.0,7.6
4200,1.7956631183624268,0.052986640483140945,1.0,0.8,0.0,7.6
4300,1.2345733642578125,0.07594151049852371,1.0,0.8,0.0,7.6
4400,0.7773610353469849,0.062279053032398224,1.0,0.8,0.0,7.6
4500,0.4335272014141083,0.07015375047922134,1.0,0.8,0.0,7.6
4600,0.23577728867530823,0.10930082947015762,1.0,0.8,0.0,7.6
4700,0.10985837131738663,0.08426468074321747,1.0,0.8,0.0,7.6
4800,0.06706409901380539,0.0903075635433197,1.0,0.8,0.0,7.6
4900,0.0440826453268528,0.046930573880672455,1.0,0.8,0.0,7.6
5000,0.025692326948046684,0.048402320593595505,1.0,0.8,0.0,7.6
5100,0.01066188607364893,0.08633992075920105,1.0,0.8,0.0,7.6
5200,0.00446522468701005,0.07416554540395737,1.0,0.8,0.0,7.6
5300,0.005278404336422682,0.07514834403991699,1.0,0.8,0.0,7.6
5400,0.005239727441221476,0.07126607745885849,1.0,0.8,0.0,7.6
5500,0.0060769119299948215,0.0711517184972763,1.0,0.8,0.0,7.6
5600,0.004030029755085707,0.09006741642951965,1.0,0.8,0.0,7.6
5700,0.006194194778800011,0.08028315752744675,1.0,0.8,0.0,7.6
5800,0.00500527024269104,0.07600003480911255,1.0,0.8,0.0,7.6
5900,0.0059549701400101185,0.07936634123325348,1.0,0.8,0.0,7.6
6000,0.004817835055291653,0.06528300046920776,1.0,0.8,0.0,7.6
6100,0.005897945258766413,0.06219062954187393,1.0,0.8,0.0,7.6
6200,0.004021664150059223,0.0933525562286377,1.0,0.8,0.0,7.6
6300,0.004861547611653805,0.08696021884679794,1.0,0.8,0.0,7.6
6400,0.0059650614857673645,0.12442319840192795,1.0,0.8,0.0,7.6
6500,0.0027604715432971716,0.06475871056318283,1.0,0.8,0.0,7.6
6600,0.0055622621439397335,0.09369705617427826,1.0,0.8,0.0,7.6
6700,0.00411178870126605,0.09755675494670868,1.0,0.8,0.0,7.6
6800,0.004241998307406902,0.07525340467691422,1.0,0.8,0.0,7.6
6900,0.0050932615995407104,0.06512946635484695,1.0,0.8,0.0,7.6
7000,0.003594807116314769,0.04229285567998886,1.0,0.8,0.0,7.6
7100,0.003928626421838999,0.07701541483402252,1.0,0.8,0.0,7.6
7200,0.005713136401027441,0.06668277829885483,1.0,0.8,0.0,7.6
7300,0.0037421658635139465,0.05974670499563217,1.0,0.8,0.0,7.6
7400,0.0067624193616211414,0.07908429950475693,1.0,0.8,0.0,7.6
7500,0.004969825502485037,0.07348692417144775,1.0,0.8,0.0,7.6
7600,0.004481632262468338,0.06565145403146744,1.0,0.8,0.0,7.6
7700,0.0034976631868630648,0.0728326216340065,1.0,0.8,0.0,7.6
7800,0.0036280055064707994,0.07415834069252014,1.0,0.8,0.0,7.6
7900,0.00450799148529768,0.06355278193950653,1.0,0.8,0.0,7.6
8000,0.005685679614543915,0.07025013864040375,1.0,0.8,0.0,7.6
8100,0.005287189036607742,0.08369160443544388,1.0,0.8,0.0,7.6
8200,0.005204704590141773,0.05674028396606445,1.0,0.8,0.0,7.6
8300,0.0045697325840592384,0.06696134805679321,1.0,0.8,0.0,7.6
8400,0.004573248326778412,0.06265601515769958,1.0,0.8,0.0,7.6
8500,0.005979049950838089,0.0685850977897644,1.0,0.8,0.0,7.6
8600,0.0055073886178433895,0.06914655864238739,1.0,0.8,0.0,7.6
8700,0.004773211665451527,0.08788859844207764,1.0,0.8,0.0,7.6
8800,0.00473364070057869,0.08862783014774323,1.0,0.8,0.0,7.6
8900,0.006608076859265566,0.06161303073167801,1.0,0.8,0.0,7.6
9000,0.0053588589653372765,0.10331763327121735,1.0,0.8,0.0,7.6
9100,0.003864424070343375,0.07099436968564987,1.0,0.8,0.0,7.6
9200,0.0055150436237454414,0.07119257748126984,1.0,0.8,0.0,7.6
9300,0.004324218258261681,0.07455864548683167,1.0,0.8,0.0,7.6
9400,0.0059908051043748856,0.08023428171873093,1.0,0.8,0.0,7.6
9500,0.005368377547711134,0.070206418633461,1.0,0.8,0.0,7.6
9600,0.004109019413590431,0.0975194051861763,1.0,0.8,0.0,7.6
9700,0.005245054606348276,0.073780857026577,1.0,0.8,0.0,7.6
9800,0.006770871579647064,0.06945840269327164,1.0,0.8,0.0,7.6
9900,0.006477540824562311,0.05502932518720627,1.0,0.8,0.0,7.6
