Step,Tag,Cortisol,Serotonin,Health,Energy,Anxiety,Threshold
0,Baseline,0.0,0.8,1.0,9.990031242370605,0.0,7.6
1,Baseline,0.0,0.8,1.0,9.977863311767578,0.008552095852792263,7.6
2,Baseline,0.0,0.8,1.0,9.968910217285156,0.01245091762393713,7.6
3,Baseline,0.0,0.8,1.0,9.959198951721191,0.020508911460638046,7.6
4,Baseline,0.0,0.8,1.0,9.949139595031738,0.01814069040119648,7.6
5,Baseline,0.0,0.8,1.0,9.938722610473633,0.01756352186203003,7.6
6,Baseline,0.0,0.8,1.0,9.928279876708984,0.023113185539841652,7.6
7,Baseline,0.0,0.8,1.0,9.918509483337402,0.03213486075401306,7.6
8,Baseline,0.0,0.8,1.0,9.90808391571045,0.01963571459054947,7.6
9,Baseline,0.0,0.8,1.0,9.899811744689941,0.01983257755637169,7.6
10,Baseline,0.0,0.8,1.0,9.891953468322754,0.009567583911120892,7.6
11,Baseline,0.0,0.8,1.0,9.882660865783691,0.008240876719355583,7.6
12,Baseline,0.0,0.8,1.0,9.874415397644043,0.015113147906959057,7.6
13,Baseline,0.0,0.8,1.0,9.865010261535645,0.03071202151477337,7.6
14,Baseline,0.0,0.8,1.0,9.854446411132812,0.0470852367579937,7.6
15,Baseline,0.0,0.8,1.0,9.843881607055664,0.04751264676451683,7.6
16,Baseline,0.0,0.8,1.0,9.83446216583252,0.03401879966259003,7.6
17,Baseline,0.0,0.8,1.0,9.8228178024292,0.047520093619823456,7.6
18,Baseline,0.0,0.8,1.0,9.814130783081055,0.031076204031705856,7.6
19,Baseline,0.0,0.8,1.0,9.805041313171387,0.03998623043298721,7.6
20,Baseline,0.0,0.8,1.0,9.798559188842773,0.021276284009218216,7.6
21,Baseline,0.0,0.8,1.0,9.787820816040039,0.010125087574124336,7.6
22,Baseline,0.0,0.8,1.0,9.777081489562988,0.010583240538835526,7.6
23,Baseline,0.0,0.8,1.0,9.768486022949219,0.012765934690833092,7.6
24,Baseline,0.0,0.8,1.0,9.758076667785645,0.016377080231904984,7.6
25,Baseline,0.0,0.8,1.0,9.7469482421875,0.016273701563477516,7.6
26,Baseline,0.0,0.8,1.0,9.733278274536133,0.021302735432982445,7.6
27,Baseline,0.0,0.8,1.0,9.722021102905273,0.04217192530632019,7.6
28,Baseline,0.0,0.8,1.0,9.711785316467285,0.05359699949622154,7.6
29,Baseline,0.0,0.8,1.0,9.703340530395508,0.054454509168863297,7.6
30,Baseline,0.0,0.8,1.0,9.693498611450195,0.04673277959227562,7.6
31,Baseline,0.0,0.8,1.0,9.683969497680664,0.055543407797813416,7.6
32,Baseline,0.0,0.8,1.0,9.674446105957031,0.05489657074213028,7.6
33,Baseline,0.0,0.8,1.0,9.664571762084961,0.05308147892355919,7.6
34,Baseline,0.0,0.8,1.0,9.656476020812988,0.05658742040395737,7.6
35,Baseline,0.0,0.8,1.0,9.648357391357422,0.061168622225522995,7.6
36,Baseline,0.0,0.8,1.0,9.637445449829102,0.04485738277435303,7.6
37,Baseline,0.0,0.8,1.0,9.630169868469238,0.03656119480729103,7.6
38,Baseline,0.0,0.8,1.0,9.619365692138672,0.023258063942193985,7.6
39,Baseline,0.0,0.8,1.0,9.609557151794434,0.03972640261054039,7.6
40,Baseline,0.0,0.8,1.0,9.600435256958008,0.046303004026412964,7.6
41,Baseline,0.0,0.8,1.0,9.590445518493652,0.07616376131772995,7.6
42,Baseline,0.0,0.8,1.0,9.581612586975098,0.0602644681930542,7.6
43,Baseline,0.0,0.8,1.0,9.573402404785156,0.07963456213474274,7.6
44,Baseline,0.0,0.8,1.0,9.561954498291016,0.08031942695379257,7.6
45,Baseline,0.0,0.8,1.0,9.553314208984375,0.09365431219339371,7.6
46,Baseline,0.0,0.8,1.0,9.542874336242676,0.09419544786214828,7.6
47,Baseline,0.0,0.8,1.0,9.532510757446289,0.07905000448226929,7.6
48,Baseline,0.0,0.8,1.0,9.52221393585205,0.06562841683626175,7.6
49,Baseline,0.0,0.8,1.0,9.511902809143066,0.0684966966509819,7.6
50,Baseline,0.0,0.8,1.0,9.50482177734375,0.06913519650697708,7.6
51,Baseline,0.0,0.8,1.0,9.494887351989746,0.06524835526943207,7.6
52,Baseline,0.0,0.8,1.0,9.485725402832031,0.054135121405124664,7.6
53,Baseline,0.0,0.8,1.0,9.477680206298828,0.046804945915937424,7.6
54,Baseline,0.0,0.8,1.0,9.466899871826172,0.018312891945242882,7.6
55,Baseline,0.0,0.8,1.0,9.456134796142578,0.01577090285718441,7.6
56,Baseline,0.0,0.8,1.0,9.447874069213867,0.01782018132507801,7.6
57,Baseline,0.0,0.8,1.0,9.43850040435791,0.024768292903900146,7.6
58,Baseline,0.0,0.8,1.0,9.428442001342773,0.017893683165311813,7.6
59,Baseline,0.0,0.8,1.0,9.417641639709473,0.022519703954458237,7.6
60,Baseline,0.0,0.8,1.0,9.405415534973145,0.020322861149907112,7.6
61,Baseline,0.0,0.8,1.0,9.394615173339844,0.022699885070323944,7.6
62,Baseline,0.0,0.8,1.0,9.383833885192871,0.018452730029821396,7.6
63,Baseline,0.0,0.8,1.0,9.375211715698242,0.018380800262093544,7.6
64,Baseline,0.0,0.8,1.0,9.365406036376953,0.0390477329492569,7.6
65,Baseline,0.0,0.8,1.0,9.355842590332031,0.06271257996559143,7.6
66,Baseline,0.0,0.8,1.0,9.347667694091797,0.07256397604942322,7.6
67,Baseline,0.0,0.8,1.0,9.337973594665527,0.08867626637220383,7.6
68,Baseline,0.0,0.8,1.0,9.326406478881836,0.1043085977435112,7.6
69,Baseline,0.0,0.8,1.0,9.315895080566406,0.10843740403652191,7.6
70,Baseline,0.0,0.8,1.0,9.306089401245117,0.11113680899143219,7.6
71,Baseline,0.0,0.8,1.0,9.29661750793457,0.11633238196372986,7.6
72,Baseline,0.0,0.8,1.0,9.287903785705566,0.10851266235113144,7.6
73,Baseline,0.0,0.8,1.0,9.279945373535156,0.10083848237991333,7.6
74,Baseline,0.0,0.8,1.0,9.271265983581543,0.10169794410467148,7.6
75,Baseline,0.0,0.8,1.0,9.262616157531738,0.09564930945634842,7.6
76,Baseline,0.0,0.8,1.0,9.253650665283203,0.08679085969924927,7.6
77,Baseline,0.0,0.8,1.0,9.24393367767334,0.09354180842638016,7.6
78,Baseline,0.0,0.8,1.0,9.233850479125977,0.09455420076847076,7.6
79,Baseline,0.0,0.8,1.0,9.226686477661133,0.0858382061123848,7.6
80,Baseline,0.0,0.8,1.0,9.218831062316895,0.08071860671043396,7.6
81,Baseline,0.0,0.8,1.0,9.209238052368164,0.0684623122215271,7.6
82,Baseline,0.0,0.8,1.0,9.200018882751465,0.06591241806745529,7.6
83,Baseline,0.0,0.8,1.0,9.190491676330566,0.055264249444007874,7.6
84,Baseline,0.0,0.8,1.0,9.178808212280273,0.055512018501758575,7.6
85,Baseline,0.0,0.8,1.0,9.169332504272461,0.0452122762799263,7.6
86,Baseline,0.0,0.8,1.0,9.158431053161621,0.042734380811452866,7.6
87,Baseline,0.0,0.8,1.0,9.1486234664917,0.03971177712082863,7.6
88,Baseline,0.0,0.8,1.0,9.137344360351562,0.046492546796798706,7.6
89,Baseline,0.0,0.8,1.0,9.124993324279785,0.045297980308532715,7.6
90,Baseline,0.0,0.8,1.0,9.115510940551758,0.04639654606580734,7.6
91,Baseline,0.0,0.8,1.0,9.104561805725098,0.05217151716351509,7.6
92,Baseline,0.0,0.8,1.0,9.093954086303711,0.056120604276657104,7.6
93,Baseline,0.0,0.8,1.0,9.083328247070312,0.059489406645298004,7.6
